Participant,Condition,Condition_name,SOA,Repetitions,Count,Relative
26,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,1.0,0.029411764705882356
26,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,34.0,1.0
26,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,34.0,1.0
26,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,64.0,0.9411764705882352
26,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,21.0,0.6176470588235294
26,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,6.0,0.17647058823529413
26,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,34.0,1.0
26,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,34.0,1.0
26,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,53.0,0.7794117647058824
26,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,9.0,0.2647058823529412
26,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,0.0,0.0
27,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,32.0,0.9411764705882352
27,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,24.0,0.7058823529411765
27,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,47.0,0.6911764705882353
27,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,24.0,0.7058823529411765
27,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,34.0,1.0
27,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,32.0,0.9411764705882352
27,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,46.0,0.6764705882352942
27,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,13.0,0.38235294117647056
27,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,18.0,0.5294117647058824
27,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,34.0,1.0
27,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,33.0,0.9705882352941176
27,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,41.0,0.6029411764705882
27,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,5.0,0.14705882352941174
27,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,0.0,0.0
27,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,34.0,1.0
27,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,33.0,0.9705882352941176
27,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,46.0,0.6764705882352942
27,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,2.0,0.05882352941176471
27,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,0.0,0.0
27,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,29.0,0.8529411764705882
27,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,34.0,1.0
27,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,42.0,0.6176470588235294
27,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,1.0,0.029411764705882356
27,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,0.0,0.0
28,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,29.0,0.8529411764705882
28,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,23.0,0.6764705882352942
28,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,44.0,0.6470588235294118
28,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,27.0,0.7941176470588235
28,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,33.0,0.9705882352941176
28,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,32.0,0.9411764705882352
28,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,50.0,0.7352941176470589
28,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,7.0,0.2058823529411765
28,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,12.0,0.35294117647058826
28,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,33.0,0.9705882352941176
28,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,31.0,0.9117647058823528
28,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,45.0,0.6617647058823529
28,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,6.0,0.17647058823529413
28,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,2.0,0.05882352941176471
28,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,33.0,0.9705882352941176
28,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,33.0,0.9705882352941176
28,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,42.0,0.6176470588235294
28,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,3.0,0.08823529411764706
28,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,0.0,0.0
28,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,34.0,1.0
28,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,33.0,0.9705882352941176
28,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,33.0,0.4852941176470588
28,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,4.0,0.1176470588235294
28,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,3.0,0.08823529411764706
29,0,interval betweeen display onset and TOJ: 50 ms,-80.0,34,26.0,0.7647058823529411
29,0,interval betweeen display onset and TOJ: 50 ms,-40.0,34,22.0,0.6470588235294118
29,0,interval betweeen display onset and TOJ: 50 ms,0.0,68,40.0,0.5882352941176471
29,0,interval betweeen display onset and TOJ: 50 ms,40.0,34,23.0,0.6764705882352942
29,1,interval betweeen display onset and TOJ: 100 ms,-80.0,34,23.0,0.6764705882352942
29,1,interval betweeen display onset and TOJ: 100 ms,-40.0,34,20.0,0.5882352941176471
29,1,interval betweeen display onset and TOJ: 100 ms,0.0,68,39.0,0.5735294117647058
29,1,interval betweeen display onset and TOJ: 100 ms,40.0,34,16.0,0.4705882352941176
29,1,interval betweeen display onset and TOJ: 100 ms,80.0,34,19.0,0.5588235294117647
29,2,interval betweeen display onset and TOJ: 200 ms,-80.0,34,28.0,0.8235294117647058
29,2,interval betweeen display onset and TOJ: 200 ms,-40.0,34,23.0,0.6764705882352942
29,2,interval betweeen display onset and TOJ: 200 ms,0.0,68,32.0,0.4705882352941176
29,2,interval betweeen display onset and TOJ: 200 ms,40.0,34,15.0,0.4411764705882353
29,2,interval betweeen display onset and TOJ: 200 ms,80.0,34,7.0,0.2058823529411765
29,3,interval betweeen display onset and TOJ: 400 ms,-80.0,34,28.0,0.8235294117647058
29,3,interval betweeen display onset and TOJ: 400 ms,-40.0,34,28.0,0.8235294117647058
29,3,interval betweeen display onset and TOJ: 400 ms,0.0,68,39.0,0.5735294117647058
29,3,interval betweeen display onset and TOJ: 400 ms,40.0,34,13.0,0.38235294117647056
29,3,interval betweeen display onset and TOJ: 400 ms,80.0,34,11.0,0.3235294117647059
29,4,interval betweeen display onset and TOJ: 800 ms,-80.0,34,32.0,0.9411764705882352
29,4,interval betweeen display onset and TOJ: 800 ms,-40.0,34,26.0,0.7647058823529411
29,4,interval betweeen display onset and TOJ: 800 ms,0.0,68,34.0,0.5
29,4,interval betweeen display onset and TOJ: 800 ms,40.0,34,9.0,0.2647058823529412
29,4,interval betweeen display onset and TOJ: 800 ms,80.0,34,6.0,0.17647058823529413
